threshold,CPR,IDR
0.0,1.0,0.0
0.01,1.0,0.0
0.02,1.0,0.0
0.03,1.0,0.0
0.04,1.0,0.0
0.05,1.0,0.0
0.06,1.0,0.0
0.07,1.0,0.0
0.08,1.0,0.0
0.09,1.0,0.0
0.1,1.0,0.0
0.11,1.0,0.0018115942028985507
0.12,1.0,0.0018115942028985507
0.13,1.0,0.0018115942028985507
0.14,1.0,0.0018115942028985507
0.15,1.0,0.0036231884057971015
0.16,1.0,0.007246376811594203
0.17,1.0,0.007246376811594203
0.18,1.0,0.009057971014492754
0.19,1.0,0.009057971014492754
0.2,1.0,0.010869565217391304
0.21,1.0,0.010869565217391304
0.22,1.0,0.010869565217391304
0.23,1.0,0.010869565217391304
0.24,1.0,0.010869565217391304
0.25,1.0,0.010869565217391304
0.26,0.9976470588235294,0.016304347826086956
0.27,0.9976470588235294,0.016304347826086956
0.28,0.9976470588235294,0.018115942028985508
0.29,0.9835294117647059,0.030797101449275364
0.3,0.9835294117647059,0.04528985507246377
0.31,0.9835294117647059,0.06702898550724638
0.32,0.9670588235294117,0.08333333333333333
0.33,0.9670588235294117,0.08514492753623189
0.34,0.96,0.10507246376811594
0.35,0.96,0.1068840579710145
0.36,0.9529411764705882,0.14673913043478262
0.37,0.9482352941176471,0.15217391304347827
0.38,0.31529411764705884,0.36594202898550726
0.39,0.2023529411764706,0.483695652173913
0.4,0.2,0.4927536231884058
0.41,0.2,0.4927536231884058
0.42,0.2,0.5018115942028986
0.43,0.2,0.5163043478260869
0.44,0.17647058823529413,0.5797101449275363
0.45,0.17647058823529413,0.5815217391304348
0.46,0.17647058823529413,0.5815217391304348
0.47,0.17647058823529413,0.5815217391304348
0.48,0.17411764705882352,0.6014492753623188
0.49,0.16941176470588235,0.625
0.5,0.16,0.6304347826086957
0.51,0.15764705882352942,0.6503623188405797
0.52,0.15294117647058825,0.6503623188405797
0.53,0.13411764705882354,0.6920289855072463
0.54,0.13176470588235295,0.697463768115942
0.55,0.13176470588235295,0.697463768115942
0.56,0.13176470588235295,0.6992753623188406
0.57,0.13176470588235295,0.6992753623188406
0.58,0.13176470588235295,0.6992753623188406
0.59,0.13176470588235295,0.6992753623188406
0.6,0.13176470588235295,0.6992753623188406
0.61,0.13176470588235295,0.6992753623188406
0.62,0.13176470588235295,0.7010869565217391
0.63,0.13176470588235295,0.7028985507246377
0.64,0.13176470588235295,0.7028985507246377
0.65,0.13176470588235295,0.7028985507246377
0.66,0.13176470588235295,0.7028985507246377
0.67,0.13176470588235295,0.7028985507246377
0.68,0.13176470588235295,0.7028985507246377
0.69,0.13176470588235295,0.7065217391304348
0.7,0.12,0.717391304347826
0.71,0.10352941176470588,0.7445652173913043
0.72,0.1011764705882353,0.7518115942028986
0.73,0.1011764705882353,0.7518115942028986
0.74,0.09647058823529411,0.7536231884057971
0.75,0.09647058823529411,0.7590579710144928
0.76,0.09647058823529411,0.7644927536231884
0.77,0.09176470588235294,0.7753623188405797
0.78,0.08941176470588236,0.7807971014492754
0.79,0.0611764705882353,0.8188405797101449
0.8,0.05176470588235294,0.8405797101449275
0.81,0.023529411764705882,0.894927536231884
0.82,0.023529411764705882,0.8967391304347826
0.83,0.023529411764705882,0.9021739130434783
0.84,0.021176470588235293,0.9057971014492754
0.85,0.018823529411764704,0.9057971014492754
0.86,0.01647058823529412,0.907608695652174
0.87,0.01411764705882353,0.9130434782608695
0.88,0.01411764705882353,0.927536231884058
0.89,0.011764705882352941,0.9420289855072463
0.9,0.0,0.9655797101449275
0.91,0.0,0.9927536231884058
0.92,0.0,0.9963768115942029
0.93,0.0,1.0
0.94,0.0,1.0
0.95,0.0,1.0
0.96,0.0,1.0
0.97,0.0,1.0
0.98,0.0,1.0
0.99,0.0,1.0
1.0,0.0,1.0